customer_id,aircraft_id,route_id,depart,arrival,seat_num,class_id,travel_date,flight_num
2,A321,34,CRW,COD,01B,Bussiness,26-01-2019,1117
2,767-301ER,4,JFK,LAX,01E,Economy,02-09-2018,1114
1,ERJ142,9,DEN,LAX,01EP,Economy Plus,26-12-2019,1119
1,CRJ900,30,BUR,STT,01FC,First Class,04-11-2018,1140
5,767-301ER,12,ABI,ADK,02B,Bussiness,02-07-2018,1122
5,ERJ142,18,ANI,BGR,02E,Economy,06-05-2020,1128
8,A321,38,CST,DAL,02EP,Economy Plus,09-08-2020,1148
4,767-301ER,5,LAX,JFX,02FC,First Class,06-04-2020,1115
7,767-301ER,20,AVL,BOI,03B,Bussiness,08-07-2020,1130
5,ERJ142,22,BGR,BJI,03E,Economy,31-05-2020,1132
11,ERJ142,31,BTM,CHA,03EP,Economy Plus,02-08-2018,1141
4,767-301ER,4,JFK,LAX,03FC,First Class,30-04-2020,1114
11,767-301ER,5,LAX,JFX,04B,Bussiness,12-11-2020,1115
8,A321,43,CBM,BOI,04E,Economy,02-05-2018,1153
17,A321,13,ABI,ADK,04EP,Economy Plus,03-06-2019,1123
9,767-301ER,15,CAK,ANI,04FC,First Class,10-09-2020,1125
11,767-301ER,4,JFK,LAX,05B,Bussiness,09-11-2020,1114
10,A321,10,HNL,DEN,05E,Economy,11-10-2020,1120
19,CRJ900,47,DAL,LAX,05EP,Economy Plus,13-01-2021,1157
9,CRJ900,33,CDC,CST,05FC,First Class,01-02-2018,1143
15,A321,14,BQN,CAK,06B,Bussiness,02-11-2018,1124
14,ERJ142,35,STT,CDB,06E,Economy,02-04-2019,1145
19,CRJ900,30,BUR,STT,06EP,Economy Plus,17-12-2020,1140
13,A321,13,ADK,BQN,06FC,First Class,05-01-2019,1123
21,CRJ900,45,CCR,EWR,07B,Bussiness,07-03-2020,1155
14,767-301ER,42,CSG,BOS,07E,Economy,25-01-2020,1152
22,ERJ142,22,BGR,BJI,07EP,Economy Plus,09-02-2020,1132
16,CRJ900,39,COD,SCC,07FC,First Class,04-05-2019,1149
24,A321,14,BQN,CAK,08B,Bussiness,22-07-2019,1124
18,767-301ER,46,CDV,HNL,08E,Economy,07-07-2019,1156
32,ERJ142,31,BTM,CHA,08EP,Economy Plus,04-03-2021,1141
20,CRJ900,36,CHA,COU,08FC,First Class,26-09-2019,1146
25,767-301ER,23,BLV,BFL,09B,Bussiness,07-03-2019,1133
19,767-301ER,32,CLD,CHI,09E,Economy,07-02-2018,1142
47,CRJ900,33,CDC,CST,09EP,Economy Plus,15-12-2020,1143
20,CRJ900,39,COD,SCC,09FC,First Class,03-05-2020,1149
29,A321,38,CST,DAL,10B,Bussiness,21-11-2019,1148
25,767-301ER,44,COU,CAK,10E,Economy,21-10-2019,1154
50,A321,21,BFL,BET,10EP,Economy Plus,15-08-2020,1131
41,A321,34,CRW,COD,10FC,First Class,15-02-2019,1144
29,ERJ142,9,DEN,LAX,11B,Bussiness,03-05-2018,1119
27,767-301ER,46,CDV,HNL,11E,Economy,29-12-2018,1156
44,767-301ER,15,CAK,ANI,11FC,First Class,06-10-2020,1125
33,ERJ142,35,STT,CDB,12B,Bussiness,15-04-2020,1145
28,ERJ142,26,BET,BTM,12E,Economy,12-12-2018,1136
46,A321,8,ORD,EWR,12FC,First Class,08-07-2011,1118
49,767-301ER,15,CAK,ANI,13B,Bussiness,19-08-2020,1125
31,767-301ER,20,AVL,BOI,13E,Economy,31-12-2018,1130
18,767-301ER,1,EWR,HNL,13FC,First Class,01-04-2018,1111
46,A321,25,RDM,BJI,14E,Economy,25-11-2020,1135
